Date,SENT_ORTHO_RISK,BWsent
199301,15.34819124,0.17
199302,14.43723681,0.24
199303,14.34812128,0.18
199304,14.3856795,-0.06
199305,15.16362695,-0.13
199306,15.39773417,-0.18
199307,15.14510641,-0.16
199308,15.15456495,-0.2
199309,15.59965859,-0.17
199310,16.49184198,-0.06
199311,16.08876823,0.03
199312,15.33239382,0.07
199401,16.14695792,0.09
199402,16.13399439,0.04
199403,15.78309185,-0.02
199404,14.93714277,0.02
199405,14.72490822,0.13
199406,13.95773911,0.23
199407,13.576712,0.21
199408,13.66362092,0.27
199409,14.2388405,0.31
199410,14.35327463,0.31
199411,14.02813624,0.31
199412,13.139951,0.27
199501,13.75164882,0.36
199502,13.5728252,0.38
199503,13.78595848,0.3
199504,13.91986126,0.16
199505,13.91253062,0.06
199506,15.06618939,0.04
199507,15.94309035,0
199508,16.48435755,0.07
199509,16.57875971,0.09
199510,15.54177384,0.11
199511,14.71286491,0.16
199512,14.39954502,0.2
199601,15.20323441,0.19
199602,16.04467448,0.18
199603,16.37652067,0.22
199604,17.95569899,0.16
199605,19.70823838,0.19
199606,18.69585011,0.34
199607,16.90448938,0.44
199608,17.07276306,0.55
199609,16.90724204,0.54
199610,15.38060371,0.52
199611,14.44637724,0.51
199612,13.5688537,0.57
199701,15.17195316,0.54
199702,14.06070648,0.61
199703,13.03924333,0.61
199704,11.87557296,0.71
199705,12.66909671,0.7
199706,12.19700165,0.63
199707,12.03023839,0.47
199708,12.99907815,0.53
199709,13.78599536,0.6
199710,13.49286509,0.5
199711,11.98374906,0.56
199712,9.310053346,0.57
199801,10.49915848,0.59
199802,10.77116925,0.46
199803,11.05872036,0.38
199804,11.72731783,0.19
199805,11.04952182,0.23
199806,10.16852415,0.21
199807,9.740688715,0.31
199808,7.585865174,0.31
199809,7.752682401,0.4
199810,7.710992407,0.36
199811,9.286968618,0.29
199812,9.331408218,0.21
199901,12.48497247,0.2
199902,12.02472859,0.27
199903,11.9608716,0.27
199904,12.46127345,0.18
199905,13.34177652,0.11
199906,13.64270873,0.14
199907,14.27439479,0.17
199908,14.20871702,0.08
199909,14.65003678,0.28
199910,14.24909418,0.16
199911,17.64741939,0.31
199912,20.95973273,0.43
200001,24.74848902,0.66
200002,30.88446271,0.59
200003,29.31140273,0.77
200004,26.04143722,0.56
200005,23.934222,0.71
200006,26.65671703,0.87
200007,25.19189944,1.03
200008,25.67564456,1.03
200009,24.01990453,1.13
200010,21.6976676,1.2
200011,18.1037317,1.51
200012,15.11566903,1.74
200101,22.40444467,1.79
200102,19.943951,2.24
200103,18.33137843,2.23
200104,19.67910173,1.91
200105,20.93057934,1.77
200106,20.90909798,2.1
200107,19.43021197,1.99
200108,18.32354086,2.01
200109,16.38084873,1.87
200110,19.11085377,1.61
200111,20.40845352,1.11
200112,20.97346666,0.94
200201,20.69339986,1.13
200202,18.38642987,0.71
200203,18.78344518,0.41
200204,17.22827825,0.43
200205,15.91569236,0.48
200206,13.78282249,0.45
200207,12.03547156,0.12
200208,11.43626231,0.03
200209,9.8912396,-0.33
200210,10.6698978,-0.29
200211,13.7647283,-0.21
200212,11.92118223,-0.32
200301,12.23198292,-0.37
200302,11.70314428,-0.47
200303,11.69144652,-0.42
200304,12.74725041,-0.6
200305,15.66494188,-0.73
200306,16.77046474,-0.74
200307,17.68854556,-0.78
200308,18.23819234,-0.79
200309,18.98768964,-0.75
200310,19.4267414,-0.65
200311,19.3926156,-0.5
200312,19.04744477,-0.56
200401,20.79754893,-0.46
200402,20.15056673,-0.42
200403,19.7923137,-0.39
200404,19.27608869,-0.36
200405,18.81572158,-0.33
200406,18.23998257,-0.3
200407,16.43933928,-0.14
200408,15.51483362,-0.05
200409,15.61226281,-0.04
200410,15.52469185,-0.1
200411,16.37193387,-0.13
200412,17.5481841,-0.15
200501,16.73018858,-0.04
200502,16.32411772,-0.06
200503,15.65643012,-0.08
200504,14.62147061,-0.06
200505,14.92411857,-0.06
200506,15.01138482,-0.1
200507,15.51333174,-0.24
200508,15.4614843,-0.27
200509,15.70677576,-0.29
200510,14.87896892,-0.27
200511,14.83468613,-0.24
200512,14.92013268,-0.22
200601,16.15187153,-0.26
200602,16.3314919,-0.27
200603,16.80790569,-0.27
